judul,link,sumber
"PR DRT Gemparkan Festival Tembakau Madura 2025, DRT Classic Jadi Ikon Baru Kretek Madura",https://kabarmadura.id/pr-drt-gemparkan-festival-tembakau-madura-2025-drt-classic-jadi-ikon-baru-kretek-madura/,kabar madura
"Sempat Terancam Batal, Lomba Gerak Jalan di Sampang Justru Diikuti 325 Tim",https://kabarmadura.id/sempat-terancam-batal-gerak-jalan-sampang-justru-dibanjiri-325-tim/,kabar madura
"Aksi Cipayung Plus di Sampang Berakhir Ricuh, Satu Orang Diamankan Polisi",https://kabarmadura.id/aksi-cipayung-plus-di-sampang-berakhir-ricuh-satu-orang-diamankan-polisi/,kabar madura
Polres Pamekasan Dalami Jaringan Narkoba Usai Tangkap Terduga Pengguna,https://kabarmadura.id/polres-pamekasan-dalami-jaringan-narkoba-usai-tangkap-terduga-pengguna/,kabar madura
"Buntut Kekerasan Demonstrasi, HMI Pamekasan Siapkan Gerakan Lanjutan",https://kabarmadura.id/buntut-kekerasan-demonstrasi-hmi-pamekasan-siapkan-gerakan-lanjutan/,kabar madura
Gas Air Mata di Aksi Demonstrasi: Cara Aman Mengatasi dan Bahan yang Harus Dihindari,https://kabarmadura.id/gas-air-mata-di-aksi-demonstrasi-cara-aman-mengatasi-dan-bahan-yang-harus-dihindari/,kabar madura
IBS PKMKK Serukan Imbauan Damai untuk Indonesia,https://kabarmadura.id/ibs-pkmkk-serukan-imbauan-damai-untuk-indonesia/,kabar madura
PBNU Instruksikan PWNU dan PCNU Jaga Stabilitas di Tengah Dinamika Unjuk Rasa,https://kabarmadura.id/pbnu-instruksikan-pwnu-dan-pcnu-jaga-stabilitas-di-tengah-dinamika-unjuk-rasa/,kabar madura
Pelatih Madura United Pertanyakan Keputusan Wasit Jadikan Kontak Antarpemain Jadi Penalti,https://kabarmadura.id/pelatih-madura-united-pertanyakan-keputusan-wasit-jadikan-kontak-antarpemain-jadi-penalti/,kabar madura
"Dominasi Permainan, Madura United Kalah Tipis ke Bali United Lewat Penalti",https://kabarmadura.id/dominasi-permainan-madura-united-kalah-tipis-ke-bali-united-lewat-penalti/,kabar madura
"Bali United vs Madura United, Mendonca Langsung Masuk DSP",https://kabarmadura.id/bali-united-vs-madura-united-mendonca-langsung-masuk-dsp/,kabar madura
"Minta Publik Bersabar, Presiden Madura United Percaya Balotelli Segera Cetak Gol",https://kabarmadura.id/minta-publik-bersabar-presiden-madura-united-percaya-balotelli-segera-cetak-gol/,kabar madura
Bali United vs Madura United: Prediksi Laga Sengit di Stadion Kapten I Wayan Dipta,https://kabarmadura.id/bali-united-vs-madura-united-prediksi-laga-sengit-di-stadion-kapten-i-wayan-dipta/,kabar madura
Ketua Senat UIN Madura: Gerakan Mahasiswa Kini Tidak Terbatas!,https://kabarmadura.id/ketua-senat-uin-madura-gerakan-mahasiswa-kini-tidak-terbatas/,kabar madura
"Dari Aroma Kopi hingga Ruang Uji, Kisah Sony Wijaya Sang Asesor Barista",https://kabarmadura.id/dari-aroma-kopi-hingga-ruang-uji-kisah-sony-wijaya-sang-asesor-barista/,kabar madura
"Ojol Pamekasan Gelar Aksi Solidaritas, Desak Proses Hukum Kematian Affan Transparan",https://kabarmadura.id/ojol-pamekasan-gelar-aksi-solidaritas-desak-proses-hukum-kematian-affan-transparan/,kabar madura
Madura United Waspadai Permainan Agresif Bali United,https://kabarmadura.id/madura-united-waspadai-permainan-agresif-bali-united/,kabar madura
Pemain Madura United Sampaikan Duka Mendalam atas Meninggalnya Driver Ojol di Jakarta,https://kabarmadura.id/pemain-madura-united-sampaikan-duka-mendalam-atas-meninggalnya-driver-ojol-di-jakarta/,kabar madura
"Misi Ulang Catatan Manis di Bali, Madura United Datang dengan Kekuatan Penuh",https://kabarmadura.id/misi-ulang-catatan-manis-di-bali-madura-united-datang-dengan-kekuatan-penuh/,kabar madura
"Kapolres Pamekasan Kukuhkan Pokdar Kamtibmas, Alfian: Perkuat Sinergi Kepolisian dengan Masyarakat!",https://kabarmadura.id/kapolres-pamekasan-kukuhkan-pokdar-kamtibmas-alfian-perkuat-sinergi-kepolisian-dengan-masyarakat/,kabar madura
"Gelar Pembinaan ASN Bersama Itjen Kemenag RI, Rektor UIN Madura Ulas Pentingnya Peningkatan Mutu SDM",https://kabarmadura.id/gelar-pembinaan-asn-bersama-itjen-kemenag-ri-rektor-uin-madura-ulas-pentingnya-peningkatan-mutu-sdm/,kabar madura
"Madura United Siap Tempur dengan Skuad Penuh, Bali United Kehilangan Pilar Muda",https://kabarmadura.id/madura-united-siap-tempur-dengan-skuad-penuh-bali-united-kehilangan-pilar-muda/,kabar madura
"BPRS Bhakti Sumekar Raih Kejar Award 2025, Tegaskan Peran Bank Syariah Daerah yang Visioner",https://kabarmadura.id/bprs-bhakti-sumekar-raih-kejar-award-2025-tegaskan-peran-bank-syariah-daerah-yang-visioner/,kabar madura
Menkes Budi Gunadi Puji Fasilitas RS BHC Sumenep,https://kabarmadura.id/menkes-budi-gunadi-puji-fasilitas-rs-bhc-sumenep/,kabar madura
BEM se-Sumenep Ungkap Kejanggalan Data Penerima Bansos,https://kabarmadura.id/bem-se-sumenep-ungkap-kejanggalan-data-penerima-bansos/,kabar madura
"Campak Capai 2.321 Kasus, Pemkab Sumenep Targetkan Vaksinasi  70.271 Anak",https://kabarmadura.id/campak-capai-2-321-kasus-pemkab-sumenep-targetkan-vaksinasi-70-271-anak/,kabar madura
"RSUD dr. H. Moh. Anwar Sumenep Diapresiasi Gubernur Khofifah, Sigap Tangani Kasus Campak",https://kabarmadura.id/rsud-dr-h-moh-anwar-sumenep-diapresiasi-gubernur-khofifah-sigap-tangani-kasus-campak/,kabar madura
Dua Kecamatan di Sampang Jadi Penyumbang Terbanyak Kasus Campak,https://kabarmadura.id/dua-kecamatan-di-sampang-jadi-penyumbang-terbanyak-kasus-campak/,kabar madura
Kesendirian,https://kabarmadura.id/kesendirian/,kabar madura
Jaminan PBI Daerah di Sampang Tembus Rp56 Miliar Setahun,https://kabarmadura.id/jaminan-pbi-daerah-di-sampang-tembus-rp56-miliar-setahun/,kabar madura
Sejumlah Dapur MBG di Sampang Diduga Tidak Taat SOP,https://kabarmadura.id/sejumlah-dapur-mbg-di-sampang-diduga-tidak-taat-sop/,kabar madura
"RPJMD 2025-2029 Rampung, Arah Baru Pembangunan Pamekasan",https://kabarmadura.id/rpjmd-2025-2029-rampung-arah-baru-pembangunan-pamekasan/,kabar madura
"Perda Tembakau Pemprov Jatim Belum Bisa Diterapkan, Sementara Pamekasan Pakai Regulasi Lama",https://kabarmadura.id/perda-tembakau-pemprov-jatim-belum-bisa-diterapkan-sementara-pamekasan-pakai-regulasi-lama/,kabar madura
"Beda PPPK Paruh Waktu dan Penuh Waktu: Gaji, Jam Kerja, hingga Kesempatan Karir",https://kabarmadura.id/beda-pppk-paruh-waktu-dan-penuh-waktu-gaji-jam-kerja-hingga-kesempatan-karir/,kabar madura
"Dua Balita Meninggal, Campak Ancam Pamekasan",https://kabarmadura.id/dua-balita-meninggal-campak-ancam-pamekasan/,kabar madura
Puluhan Mobdin Pemkab Sampang Belum Jalani Uji KIR,https://kabarmadura.id/puluhan-mobdin-pemkab-sampang-belum-jalani-uji-kir/,kabar madura
Kejari Pamekasan Sita 4 Bidang Tanah Milik Tersangka Tipikor Gadai Emas UPS Palengaan,https://kabarmadura.id/kejari-pamekasan-sita-4-bidang-tanah-milik-tersangka-tipikor-gadai-emas-ups-palengaan/,kabar madura
Madura United Kepincut Karakter Bermain Mendonça karena Punya Gaya Bek Modern,https://kabarmadura.id/madura-united-kepincut-karakter-bermain-mendonca-karena-punya-gaya-bek-modern/,kabar madura
"PAD GOR Nyalaran Pamekasan Seret, Baru Capai 34 Persen dari Target",https://kabarmadura.id/pad-gor-nyalaran-pamekasan-seret-baru-capai-34-persen-dari-target/,kabar madura
"Pemdes Karang Penang Onjur Sampang Dituding Gelapkan Bantuan Pangan, Pj Kades: Tidak Benar!",https://kabarmadura.id/pemdes-karang-penang-onjur-sampang-dituding-gelapkan-bantuan-pangan-pj-kades-tidak-benar/,kabar madura
DPD KNPI Sumenep Akan Surati Bupati Terkait PKBM,https://kabarmadura.id/dpd-knpi-sumenep-akan-surati-bupati-terkait-pkbm/,kabar madura
Festival Tembakau 2025: Dari Histori ke Ahistori,https://kabarmadura.id/festival-tembakau-2025-dari-histori-ke-ahistori/,kabar madura
"Menoleh Catatan Apik Madura United di Kandang Bali United, Laskar Sape Kerrab Diunggulkan",https://kabarmadura.id/menoleh-catatan-apik-madura-united-di-kandang-bali-united-laskar-sape-kerrab-diunggulkan/,kabar madura
"Berpostur Nyaris 2 Meter, Madura United Resmi Rekrut Mendonça Defender asal Brasil",https://kabarmadura.id/berpostur-nyaris-2-meter-madura-united-resmi-rekrut-mendonca-defender-asal-brasil/,kabar madura
"Usut Tuntas Aliran Uang Tipikor, Kejari Endus Dugaan Keterlibatan Pegadaian Cabang Syariah Pamekasan",https://kabarmadura.id/usut-tuntas-aliran-uang-tipikor-kejari-endus-dugaan-keterlibatan-pegadaian-cabang-syariah-pamekasan/,kabar madura
"Belum Temukan Penampilan Terbaik, Madura United Masih Percaya Kualitas Valeriy Gryshyn",https://kabarmadura.id/belum-temukan-penampilan-terbaik-madura-united-masih-percaya-kualitas-valeriy-gryshyn/,kabar madura
"Lini Depan Madura United Mandul di Tiga Laga Terakhir, Alfredo Genjot Finishing",https://kabarmadura.id/lini-depan-madura-united-mandul-di-tiga-laga-terakhir-alfredo-genjot-finishing/,kabar madura
"Dana Ganti Rugi Rumpon Diduga Raib, Nelayan Tuntut Keadilan ke Kejati Jatim",https://kabarmadura.id/dana-ganti-rugi-rumpon-diduga-raib-nelayan-tuntut-keadilan-ke-kejati-jatim/,kabar madura
"Respons Demo Formasa, Pemkab Sampang Kaji Penurunan hingga Pembebasan BPHTB",https://kabarmadura.id/respons-demo-formasa-pemkab-sampang-kaji-penurunan-hingga-pembebasan-bphtb/,kabar madura
Dua Desa di Sampang Terima Program PISEW,https://kabarmadura.id/dua-desa-di-sampang-terima-program-pisew/,kabar madura
Polres Pamekasan Irit Bicara soal Kasus Korupsi Gebyar Batik yang Dilaporkan ke Polda,https://kabarmadura.id/polres-pamekasan-irit-bicara-soal-kasus-korupsi-gebyar-batik-yang-dilaporkan-ke-polda/,kabar madura
Zia Ul Haq: Transformasi Subsidi LPG Harus Lindungi Masyarakat Kecil!,https://kabarmadura.id/zia-ul-haq-transformasi-subsidi-lpg-harus-lindungi-masyarakat-kecil/,kabar madura
"Job Fair Disnaker Sampang Diserbu Pencari Kerja, Target 250 Orang Terserap",https://kabarmadura.id/job-fair-disnaker-sampang-diserbu-pencari-kerja-target-250-orang-terserap/,kabar madura
"Anggaran Rp1,2 Miliar di Pamekasan hanya untuk 8 Titik Pokdakan",https://kabarmadura.id/anggaran-rp12-miliar-di-pamekasan-hanya-untuk-8-titik-pokdakan/,kabar madura
DPRD Pamekasan Minta Gudang Tingkatkan Pembelian Tembakau,https://kabarmadura.id/dprd-pamekasan-minta-gudang-tingkatkan-pembelian-tembakau/,kabar madura
"Mulai 2026, Beli LPG 3 Kg Wajib Pakai KTP: Ini Daftar 9 Kelompok yang Dilarang",https://kabarmadura.id/mulai-2026-beli-lpg-3-kg-wajib-pakai-ktp-ini-daftar-9-kelompok-yang-dilarang/,kabar madura
"Angkut 77 Paket Berisi Rokok Ilegal, Mobil Boks Rekanan PT Pos Indonesia Diamankan Polisi di Sampang",https://kabarmadura.id/angkut-77-paket-berisi-rokok-ilegal-mobil-boks-rekanan-pt-pos-indonesia-diamankan-polisi-di-sampang/,kabar madura
Jumlah KPM PKH di Sampang Naik 25 Ribu Jiwa dalam Tiga Bulan,https://kabarmadura.id/jumlah-kpm-pkh-di-sampang-naik-25-ribu-jiwa-dalam-tiga-bulan/,kabar madura
"Di Pamekasan, Baru 9 Dapur MBG Siap Beroperasi",https://kabarmadura.id/di-pamekasan-baru-9-dapur-mbg-siap-beroperasi/,kabar madura
"32 SPAM Bakal Dibangun di Sampang, Warga: Tempatkan di Lokasi yang Tepat!",https://kabarmadura.id/32-spam-bakal-dibangun-di-sampang-warga-tempatkan-di-lokasi-yang-tepat/,kabar madura
Madura United Ungkap Alasan Riski Afrisal Tidak Dimainkan di 3 Laga Awal,https://kabarmadura.id/madura-united-ungkap-alasan-riski-afrisal-tidak-dimainkan-di-3-laga-awal/,kabar madura
55 Jabatan Stategis di Sampang Tanpa Pejabat Definitif,https://kabarmadura.id/55-jabatan-stategis-di-sampang-tanpa-pejabat-definitif/,kabar madura
8 Rekomendasi Beasiswa untuk Mahasiswa on Going,https://kabarmadura.id/8-rekomendasi-beasiswa-untuk-mahasiswa-on-going/,kabar madura
"APBD Minim, Pemkab Sampang Belum Bisa Beri Keringanan BPHTB",https://kabarmadura.id/apbd-minim-pemkab-sampang-belum-bisa-beri-keringanan-bphtb/,kabar madura
Kejari Pamekasan Tetapkan Dua Tersangka Kasus Korupsi Pegadaian,https://kabarmadura.id/kejari-pamekasan-tetapkan-dua-tersangka-kasus-korupsi-pegadaian/,kabar madura
Anggaran 2 OPD Terpangkas Paling Besar dalam Efisiensi Pemkab Pamekasan,https://kabarmadura.id/anggaran-2-opd-terpangkas-paling-besar-dalam-efisiensi-pemkab-pamekasan/,kabar madura
"Berkas Kasus Kurir JNT di Pamekasan Belum Tuntas, Korban Mengaku Dapat Ancaman",https://kabarmadura.id/berkas-kasus-kurir-jnt-di-pamekasan-belum-tuntas-korban-mengaku-dapat-ancaman/,kabar madura
BNNK Apresiasi Strategi UNIBA Madura Cegah Peredaran Narkoba di Kampus,https://kabarmadura.id/bnnk-apresiasi-strategi-uniba-madura-cegah-peredaran-narkoba-di-kampus/,kabar madura
KNPI Sumenep Sebut Tindak Lanjut PKBM Fiktif Seremonial Belaka,https://kabarmadura.id/knpi-sumenep-sebut-tindak-lanjut-pkbm-fiktif-seremonial-belaka/,kabar madura
"Masa Tua PPPK Tidak Perlu Cemas, Pemkab Sumenep Gandeng Taspen Life Beri Jaminan Hari Tua",https://kabarmadura.id/masa-tua-pppk-tidak-perlu-cemas-pemkab-sumenep-gandeng-taspen-life-beri-jaminan-hari-tua/,kabar madura
"803 Mahasiswa Unira Ikuti PKKMB, Tekankan Siap Sambut Indonesia Emas",https://kabarmadura.id/803-mahasiswa-unira-ikuti-pkkmb-tekankan-siap-sambut-indonesia-emas/,kabar madura
"Setelah Makan Korban, Sumenep Gagal Jadi Tuan Rumah Kerapan Sapi Piala Presiden",https://kabarmadura.id/setelah-makan-korban-sumenep-gagal-jadi-tuan-rumah-kerapan-sapi-piala-presiden/,kabar madura
"Kisah Cindy Yulia Kartika Sari, Mahasiswi UNIBA Madura yang Harumkan Nama Daerah Lewat Prestasi Nasional",https://kabarmadura.id/kisah-cindy-yulia-kartika-sari-mahasiswi-uniba-madura-yang-harumkan-nama-daerah-lewat-prestasi-nasional/,kabar madura
"Polemik Ganti Rugi Rumpon Nelayan, Katalis Sebut Pemkab dan DPRD Sampang Abai",https://kabarmadura.id/polemik-ganti-rugi-rumpon-nelayan-katalis-sebut-pemkab-dan-dprd-sampang-abai/,kabar madura
Disdik Sampang Alokasikan Rp270 Juta Pengadaan Buku Perpustakaan untuk 10 Lembaga,https://kabarmadura.id/disdik-sampang-alokasikan-rp270-juta-pengadaan-buku-perpustakaan-untuk-10-lembaga/,kabar madura
"Penyelidikan di Polres Dihentikan, Kasus Dugaan Korupsi Gebyar Batik Pamekasan Dibawa ke Polda Jatim",https://kabarmadura.id/penyelidikan-di-polres-dihentikan-kasus-dugaan-korupsi-gebyar-batik-pamekasan-dibawa-ke-polda-jatim/,kabar madura
Empat Pembangunan MCK di Sampang Dibiayai Pokir Dewan,https://kabarmadura.id/empat-pembangunan-mck-di-sampang-dibiayai-pokir-dewan/,kabar madura
"Usulan BLT DBHCHT Melebihi Kuota, Dinsos Pamekasan Pastikan Tepat Sasaran",https://kabarmadura.id/usulan-blt-dbhcht-melebihi-kuota-dinsos-pamekasan-pastikan-tepat-sasaran/,kabar madura
Yayasan Anak Cerdas Berkualitas Grup Resmikan Dapur MBG di Ketapang Sampang,https://kabarmadura.id/yayasan-anak-cerdas-berkualitas-grup-resmikan-dapur-mbg-di-ketapang-sampang/,kabar madura
Kunjungan Asesor Matematika di Padepokan Kyai Mudrikah Pamekasan,https://kabarmadura.id/kunjungan-asesor-matematika-di-padepokan-kyai-mudrikah-pamekasan/,kabar madura
"Imunisasi Rendah, Pamekasan Catat 123 Orang Positif Campak",https://kabarmadura.id/imunisasi-rendah-pamekasan-catat-123-orang-positif-campak/,kabar madura
"Upaya Diversi Gagal, Kasus Perundungan Siswa SMP di Pamekasan Berlanjut ke Kejaksaan",https://kabarmadura.id/upaya-diversi-gagal-kasus-perundungan-siswa-smp-di-pamekasan-berlanjut-ke-kejaksaan/,kabar madura
DPRD Sampang Tekankan Pemkab Tidak Naikkan PBB,https://kabarmadura.id/dprd-sampang-tekankan-pemkab-tidak-naikkan-pbb/,kabar madura
Pamekasan Tidak Dapat Jatah Tambahan PKH Plus,https://kabarmadura.id/pamekasan-tidak-dapat-jatah-tambahan-pkh-plus/,kabar madura
"Hasil Pekan Ketiga Super League 2025/2026: Borneo FC Geser Persija, Madura United Kunci 10 Besar",https://kabarmadura.id/hasil-pekan-ketiga-super-league-2025-2026-borneo-fc-geser-persija-madura-united-kunci-10-besar/,kabar madura
"Buka PBAK 2025, Rektor UIN Madura Ajak Maba Fokus Raih Prestasi",https://kabarmadura.id/buka-pbak-2025-rektor-uin-madura-ajak-maba-fokus-raih-prestasi/,kabar madura
"Balotelli Belum Cetak Gol sejak Bersama Madura United, Alfredo Pasang Badan",https://kabarmadura.id/balotelli-belum-cetak-gol-sejak-bersama-madura-united-alfredo-pasang-badan/,kabar madura
Pertahanan Madura United Membaik dan Dominasi Permainan meski Ditahan Imbang Persita,https://kabarmadura.id/pertahanan-madura-united-membaik-dan-dominasi-permainan-meski-ditahan-imbang-persita/,kabar madura
Senyum Yatim Piatu di Panaongan Raih Ketulusan Dermawan dalam Aksi “Kita Berbagi Sumenep”,https://kabarmadura.id/senyum-yatim-piatu-di-panaongan-raih-ketulusan-dermawan-dalam-aksi-kita-berbagi-sumenep/,kabar madura
Gubernur Khofifah: Mayoritas Kasus Campak di Sumenep akibat Masalah Imunisasi,https://kabarmadura.id/gubernur-khofifah-mayoritas-kasus-campak-di-sumenep-akibat-masalah-imunisasi/,kabar madura
Ultimatum Prof AQ: UNIBA Madura Harus Steril dari Narkoba dan Judi Online,https://kabarmadura.id/ultimatum-prof-aq-uniba-madura-harus-steril-dari-narkoba-dan-judi-online/,kabar madura
"Ratusan Warga Sampang Kena Campak, Dinkes KB: Cuaca dan Rendahnya Imunisasi Jadi Faktor",https://kabarmadura.id/ratusan-warga-sampang-kena-campak-dinkes-kb-cuaca-dan-rendahnya-imunisasi-jadi-faktor/,kabar madura
"Raker, Aliansi Jurnalis Sampang Fokus Perkuat Kapasitas dan Sinergi",https://kabarmadura.id/raker-aliansi-jurnalis-sampang-fokus-perkuat-kapasitas-dan-sinergi/,kabar madura
"Kejutan, Jasey Wehrmann Masuk DSP Madura United vs Persita Tangerang",https://kabarmadura.id/kejutan-jasey-wehrmann-masuk-dsp-madura-united-vs-persita-tangerang/,kabar madura
Empat Rapat Bappelitbangda Sampang Telan Rp245 Juta,https://kabarmadura.id/empat-rapat-bappelitbangda-sampang-telan-rp245-juta/,kabar madura
Polres Sampang Kawal Dugaan Pungli PTSL,https://kabarmadura.id/polres-sampang-kawal-dugaan-pungli-ptsl/,kabar madura
"Bawa Bukti Transfer dan Video, Nelayan Banyuates Sampang Laporkan Dugaan Penggelapan Dana Rumpon",https://kabarmadura.id/bawa-bukti-transfer-dan-video-nelayan-banyuates-sampang-laporkan-dugaan-penggelapan-dana-rumpon/,kabar madura
"Tenda PKL Food Colony Rusak, Pemkab Pamekasan Tegaskan Tak Ada Anggaran Perbaikan",https://kabarmadura.id/tenda-pkl-food-colony-rusak-pemkab-pamekasan-tegaskan-tak-ada-anggaran-perbaikan/,kabar madura
Kopdes Merah Putih di Pamekasan Belum Berani Ajukan Pinjaman Modal,https://kabarmadura.id/kopdes-merah-putih-di-pamekasan-belum-berani-ajukan-pinjaman-modal/,kabar madura
"Berdalih Masih Dibahas, Draf KUA-PPAS APBD Pamekasan 2026 Belum Rampung",https://kabarmadura.id/berdalih-masih-dibahas-draf-kua-ppas-apbd-pamekasan-2026-belum-rampung/,kabar madura
"Jutaan Honorer Berpotensi Jadi PPPK Paruh Waktu, Ini Jadwal Pengisian DRH hingga Besaran Gaji",https://kabarmadura.id/jutaan-honorer-berpotensi-jadi-pppk-paruh-waktu-ini-jadwal-pengisian-drh-hingga-besaran-gaji/,kabar madura
Dokter RSUD SMart Pamekasan Sebut Rokok dan Begadang Pemicu Anak Muda Strok,https://kabarmadura.id/dokter-rsud-smart-pamekasan-sebut-rokok-dan-begadang-pemicu-anak-muda-strok/,kabar madura
Meluruskan Pemanfaatan AI dalam Dunia  Akademik,https://kabarmadura.id/meluruskan-pemanfaatan-ai-dalam-dunia-akademik/,kabar madura
Miswar Target Cleansheet Pertama di Madura saat Jamu Persita Tangerang,https://kabarmadura.id/miswar-target-cleansheet-pertama-di-madura-saat-jamu-persita-tangerang/,kabar madura
"Antisipasi Motivasi Tinggi Persita Tangerang, Novan: Madura United Harus Cetak Gol Cepat",https://kabarmadura.id/antisipasi-motivasi-tinggi-persita-tangerang-novan-madura-united-harus-cetak-gol-cepat/,kabar madura
"Baru Dua Pertandingan Madura United sudah Didenda Rp70 Juta, Suporter Kritik PSSI",https://kabarmadura.id/baru-dua-pertandingan-madura-united-sudah-didenda-rp70-juta-suporter-kritik-pssi/,kabar madura
"Korupsi Masih Mengakar, Kegagalan Kebijakan Pencegahan yang Berhenti di Level Formalitas",https://kabarmadura.id/korupsi-masih-mengakar-kegagalan-kebijakan-pencegahan-yang-berhenti-di-level-formalitas/,kabar madura
Santer Kabar Madura United Daftarkan Jasey Wehrmann ke I League,https://kabarmadura.id/santer-kabar-madura-united-daftarkan-jasey-wehrmann-ke-i-league/,kabar madura
Duet Akhmad Munir-Atal Depari Resmi Daftar Caketum dan Calon Ketua DK PWI Pusat 2025-2030,https://kabarmadura.id/duet-akhmad-munir-atal-depari-resmi-daftar-caketum-dan-calon-ketua-dk-pwi-pusat-2025-2030/,kabar madura
"Belum Cleansheet, Madura United Datangkan Pemain Asing Baru di Center Back",https://kabarmadura.id/belum-cleansheet-madura-united-datangkan-pemain-asing-baru-di-center-back/,kabar madura
"Jelang Laga Madura United vs Persita Tangerang, Aliansi Suporter Madura: Wajib Tiga Poin",https://kabarmadura.id/jelang-laga-madura-united-vs-persita-tangerang-aliansi-suporter-madura-wajib-tiga-poin/,kabar madura
"Pertama di Madura, Vitria Medika Bersiap Gelar Cardio Heart Fun Night Run",https://kabarmadura.id/pertama-di-madura-vitria-medika-bersiap-gelar-cardio-heart-fun-night-run/,kabar madura
Sinergi Agama dan Teknologi: Kunjungan Kasubdit Kemenag di IBS PKMKK,https://kabarmadura.id/sinergi-agama-dan-teknologi-kunjungan-kasubdit-kemenag-di-ibs-pkmkk/,kabar madura
